team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Canadiens,Montreal,2012,53,30,56.6,2.92,31.09
Canadiens,Montreal,2013,99,56,56.6,2.63,28.58
Canadiens,Montreal,2014,94,56,59.6,2.54,29.26
Canadiens,Montreal,2015,82,38,46.3,2.63,30.55
Canadiens,Montreal,2016,88,49,55.7,2.66,30.3
Canadiens,Montreal,2017,82,29,35.4,2.52,32.77
Canadiens,Montreal,2018,328,176,53.7,3.0,34.1
Canadiens,Montreal,2019,321,141,43.9,2.85,33.5
Canucks,Vancouver,2000,71,36,50.7,3.08,29.82
Canucks,Vancouver,2001,75,42,56.0,3.15,28.53
Canucks,Vancouver,2002,69,45,65.2,3.36,29.03
Canucks,Vancouver,2003,72,43,59.7,2.92,28.67
Canucks,Vancouver,2005,82,42,51.2,3.07,28.76
Canucks,Vancouver,2006,82,49,59.8,2.65,29.33
Canucks,Vancouver,2007,82,39,47.6,2.52,27.46
Canucks,Vancouver,2008,82,45,54.9,2.96,28.48
Canucks,Vancouver,2009,82,49,59.8,3.27,30.9
Canucks,Vancouver,2010,107,69,64.5,2.95,32.07
Canucks,Vancouver,2011,87,52,59.8,2.86,31.67
Canucks,Vancouver,2012,52,26,50.0,2.5,28.42
Canucks,Vancouver,2013,82,36,43.9,2.33,30.82
Canucks,Vancouver,2014,88,50,56.8,2.84,29.94
Canucks,Vancouver,2015,82,31,37.8,2.27,28.18
Canucks,Vancouver,2016,82,30,36.6,2.17,27.72
Canucks,Vancouver,2017,82,31,37.8,2.66,30.06
Canucks,Vancouver,2018,328,140,42.7,2.67,29.67
Canucks,Vancouver,2019,344,184,53.5,3.16,30.28
Capitals,Washington,2000,72,41,56.9,2.92,28.6
Capitals,Washington,2001,71,36,50.7,2.79,27.49
Capitals,Washington,2002,74,39,52.7,2.8,26.77
Capitals,Washington,2003,72,23,31.9,2.28,23.78
Capitals,Washington,2005,82,29,35.4,2.8,29.82
Capitals,Washington,2006,82,28,34.1,2.85,27.99
Capitals,Washington,2007,82,43,52.4,2.9,30.95
Capitals,Washington,2008,82,50,61.0,3.27,33.51
Capitals,Washington,2009,82,54,65.9,3.82,32.84
Capitals,Washington,2010,91,52,57.1,2.66,31.37
Capitals,Washington,2011,96,49,51.0,2.57,27.94
Capitals,Washington,2012,55,30,54.5,2.87,28.65
Capitals,Washington,2013,82,38,46.3,2.74,29.43
Capitals,Washington,2014,96,52,54.2,2.76,29.83
Capitals,Washington,2015,94,62,66.0,2.95,30.83
Capitals,Washington,2016,95,62,65.3,3.13,30.89
Capitals,Washington,2017,106,65,61.3,3.23,29.63
Capitals,Washington,2018,356,204,57.3,3.3,30.13
Capitals,Washington,2019,308,172,55.8,3.23,31.23
Coyotes,Phoenix,2000,65,35,53.8,2.82,25.55
Coyotes,Phoenix,2001,73,40,54.8,2.9,26.7
Coyotes,Phoenix,2002,71,31,43.7,2.49,27.85
Coyotes,Phoenix,2003,64,22,34.4,2.28,25.48
Coyotes,Phoenix,2005,82,38,46.3,2.95,28.01
Coyotes,Phoenix,2006,82,31,37.8,2.57,28.29
Coyotes,Phoenix,2007,82,38,46.3,2.55,30.49
Coyotes,Phoenix,2008,82,36,43.9,2.5,28.09
Coyotes,Phoenix,2009,82,50,61.0,2.57,30.54
Coyotes,Phoenix,2010,86,43,50.0,2.74,30.28
